key,en-us,fr,es-es,pl,ru,de,tr,,
language,English,French,Spanish,,Russian,German,,,
language_native,English,Français,Español,,Русский,Deutsch,,,
STATUS_MESSAGE_ONLINE,Server is online,Le serveur est en ligne,El servidor está en línea,,Сервер онлайн,Der Server ist verbunden,,,
STATUS_MESSAGE_OFFLINE,Server is offline,Le serveur est hors ligne,El servidor está sin conexión,,Cервер оффлайн,Der Server ist getrennt,,,
STATUS_MESSAGE_RESTART,Server restarted,Le serveur a redémarré,Servidor reiniciado,,Сервер перезапустился,Der Server ist neu gestartet,,,
STATUS_MESSAGE_TOOMANYPLAYERS,Server has too many players online to log activity,Le serveur a trop de joueurs en ligne pour enregistrer l'activité,El servidor tiene demasiados jugadores en línea para registrar la actividad,,На сервере слишком много человек для ведения лога активности,Der Server hat zu viele Spieler verbunden um zu speichern.,,,
STATUS_MESSAGE_NOQUERY,`enable-query=true` must be set and query port must be set to the `query.port` in server.properties for join logs,`enable-query=true` doit être défini et le port de requêtes doit être défini sur `query.port` dans server.properties pour les journaux d'entrées,`enable-query=true` debe establecerse y el puerto de consulta debe establecerse en `query.port` en server.properties para los registros de combinación,,Должен быть настроен параметр `enable-query=true` и установлено значение порта у параметра `query.port` в server.properties для ведения лога,`enable-query=true` muss gesetzt sein und der query port muss in `query.port` in server.properties gesetzt werden um Aufenthalte von Spielern zu speichern,,,
STATUS_MESSAGE_ERROR,:stop_sign: An error occured when trying to get server info,:stop_sign: Une erreur s'est produite lors de la tentative d'obtention des informations sur le serveur,:stop_sign: Se ha producido un error al intentar obtener información del servidor,,":stop_sign: При попытке получить информацию о сервере, произошла ошибка",:stop_sign: Ein Fehler ist aufgetreten um Server Informationen zu erhalten,,,
STATUS_CHANNEL_NOPERMS,I do not have permission to send messages in the status channel! Status channel has been removed.,Je n'ai pas la permission d'envoyer des messages dans le canal de statut! Le canal de statut a été supprimé.,¡No tengo permiso para enviar mensajes en el canal de estado! Se ha eliminado el canal de estado.,,Нет возможности писать в статус-канал! Он был удален.,Ich habe keine Befugnis um im Statuskanal etwas zu posten! Statuskanal gelöscht.,,,
STATUS_PLAYER_FAILEDIMAGE,[Failed to load image] {0},[Échec du chargement de l'image] {0},[No se pudo cargar la imagen] {0},,[Не удалось загрузить изображение] {0},[Bild laden fehlgeschlagen] {0},,,
STATUS_PLAYER_JOINED,{0} has joined the game.,{0} a rejoint le jeu.,{0} se ha unido al juego.,,{0} присоединился к игре.,{0} hat dem Spiel beigetreten.,,,
STATUS_PLAYER_LEFT,{0} has left the game.,{0} a quitté la partie.,{0} ha dejado el juego.,,{0} покинул игру.,{0} hat das Spiel verlassen.,,,
SERVER_EMPTY,Nobody is currently online,Personne n'est actuellement en ligne,Nadie está en línea actualmente,,"На данный момент, никого нет в сети",Zurzeit ist niemand aktiv,,,
SERVER_PLAYERS,Players: **{0}/{1}**,Joueurs: **{0}/{1}**,Jugadores: **{0}/{1}**,,Игроки: **{0}/{1}**,Spieler: **{0}/{1}**,,,
SERVER_PLAYERS_SGL,Players: **{0}**,Joueurs: **{0}**,Jugadores: **{0}**,,Игроки: **{0}**,Spieler: **{0}**,,,
SERVER_PLAYERS_REV,**{0}** players,**{0}** joueurs,**{0}** jugadores,,Игроков: **{0}**,**{0}** Spieler,,,
